Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
3,67220,67163.2,67161.5,67169.7,66694.5
4,67380,67350.1,67349.3,67358.9,66883.9
5,67550,67537.1,67537,67548.1,67073.3
6,67730,67724,67724.8,67737.3,67262.6
7,67920,67911,67912.5,67926.5,67452
8,68050,68097.9,68100.3,68115.7,67641.3
9,68280,68284.9,68288,68304.9,67830.7
10,68450,68471.8,68475.8,68494.1,68020.1
11,68620,68658.8,68663.5,68683.3,68209.4
12,68880,68845.8,68851.3,68872.6,68398.8
1,69290,69263.9,69246,69250.2,68777.5
2,69500,69451.5,69434.3,69439.4,68966.9
3,69650,69639.1,69622.5,69628.5,69156.3
4,69860,69826.7,69810.7,69817.7,69345.6
5,70000,70014.3,69999,70006.8,69535
6,70210,70201.9,70187.2,70195.9,69724.4
7,70390,70389.6,70375.5,70385.1,69913.7
8,70560,70577.2,70563.7,70574.2,70103.1
9,70730,70764.8,70751.9,70763.4,70292.4
10,70900,70952.4,70940.2,70952.5,70481.8
11,71100,71140,71128.4,71141.7,70671.2
12,71300,71327.6,71316.6,71330.8,70860.5
1,71550,71515.2,71504.9,71520,71049.9
2,71750,71702.8,71693.1,71709.1,71239.3
3,71990,71890.4,71881.4,71898.3,71428.6
4,72120,72078.1,72069.6,72087.4,71618
5,72330,72265.7,72257.8,72276.6,71807.4
6,72460,72453.3,72446.1,72465.7,71996.7
7,72600,72640.9,72634.3,72654.9,72186.1
8,72800,72828.5,72822.6,72844,72375.5
9,73010,73016.1,73010.8,73033.2,72564.8
10,73160,73203.7,73199,73222.3,72754.2
11,73340,73391.3,73387.3,73411.5,72943.5
12,73610,73578.9,73575.5,73600.6,73132.9
1,73970,73974.8,73957.3,73960.1,73511.6
2,74190,74162.3,74145.7,74148.5,73701
3,74310,74349.8,74334.1,74337,73890.4
4,74550,74537.3,74522.5,74525.5,74079.7
5,74700,74724.7,74710.9,74714,74269.1
6,74920,74912.2,74899.2,74902.4,74458.5
7,75090,75099.7,75087.6,75090.9,74647.8
8,75280,75287.2,75276,75279.4,74837.2
9,75450,75474.6,75464.4,75467.8,75026.6
10,75600,75662.1,75652.8,75656.3,75215.9
11,75820,75849.6,75841.2,75844.8,75405.3
12,76040,76037.1,76029.6,76033.3,75594.6
1,76240,76224.6,76218,76221.7,75784
2,76430,76412,76406.3,76410.2,75973.4
3,76620,76599.5,76594.7,76598.7,76162.7
4,76800,76787,76783.1,76787.2,76352.1
5,77000,76974.5,76971.5,76975.6,76541.5
6,77150,77162,77159.9,77164.1,76730.8
7,77300,77349.4,77348.3,77352.6,76920.2
8,77500,77536.9,77536.7,77541,77109.6
9,77720,77724.4,77725,77729.5,77298.9
10,77920,77911.9,77913.4,77918,77488.3
11,78120,78099.3,78101.8,78106.5,77677.7
12,78340,78286.8,78290.2,78294.9,77867
1,78680,78679.3,78661.4,78662.5,78245.7
2,78890,78866,78849.6,78850.3,78435.1
3,79030,79052.6,79037.8,79038.1,78624.5
4,79220,79239.3,79226,79226,78813.8
5,79380,79425.9,79414.2,79413.8,79003.2
6,79620,79612.6,79602.4,79601.6,79192.6
7,79800,79799.2,79790.6,79789.4,79381.9
8,79990,79985.9,79978.8,79977.3,79571.3
9,80130,80172.5,80167,80165.1,79760.7
10,80290,80359.2,80355.2,80352.9,79950
11,80510,80545.8,80543.4,80540.8,80139.4
12,80710,80732.5,80731.6,80728.6,80328.8
1,80920,80919.1,80919.8,80916.4,80518.1
2,81130,81105.7,81108,81104.2,80707.5
3,81360,81292.4,81296.2,81292.1,80896.9
4,81540,81479,81484.4,81479.9,81086.2
5,81730,81665.7,81672.6,81667.7,81275.6
6,81870,81852.3,81860.8,81855.6,81464.9
7,82030,82039,82049,82043.4,81654.3
8,82210,82225.6,82237.2,82231.2,81843.7
9,82390,82412.3,82425.4,82419,82033
10,82570,82598.9,82613.6,82606.9,82222.4
11,82740,82785.6,82801.8,82794.7,82411.8
12,83000,82972.2,82990,82982.5,82601.1
1,83310,83358.8,83347.3,83335.1,82979.9
2,83520,83544.7,83535,83522.7,83169.2
3,83760,83730.6,83722.6,83710.3,83358.6
4,83920,83916.6,83910.3,83897.9,83548
5,84060,84102.5,84097.9,84085.5,83737.3
6,84290,84288.4,84285.5,84273.1,83926.7
7,84480,84474.3,84473.2,84460.7,84116
8,84660,84660.3,84660.8,84648.3,84305.4
9,84830,84846.2,84848.4,84835.9,84494.8
10,84990,85032.1,85036.1,85023.5,84684.1
11,85160,85218,85223.7,85211.1,84873.5
12,85410,85403.9,85411.4,85398.7,85062.9
1,85610,85589.9,85599,85586.3,85252.2
2,85780,85775.8,85786.6,85773.9,85441.6
3,85990,85961.7,85974.3,85961.5,85631
4,86180,86147.6,86161.9,86149.1,85820.3
5,86370,86333.6,86349.5,86336.7,86009.7
6,86550,86519.5,86537.2,86524.3,86199.1
7,86670,86705.4,86724.8,86711.9,86388.4
8,86850,86891.3,86912.5,86899.5,86577.8
9,87070,87077.3,87100.1,87087.1,86767.1
10,87250,87263.2,87287.7,87274.7,86956.5
11,87420,87449.1,87475.4,87462.3,87145.9
12,87690,87635,87663,87649.9,87335.2
1,88040,88036.3,88028.2,88020.4,87714
2,88210,88222.3,88215.5,88207.8,87903.3
3,88410,88408.3,88402.8,88395.3,88092.7
4,88620,88594.4,88590.1,88582.8,88282.1
5,88780,88780.4,88777.4,88770.2,88471.4
6,89030,88966.4,88964.7,88957.7,88660.8
7,89150,89152.4,89152,89145.2,88850.2
8,89320,89338.5,89339.3,89332.6,89039.5
9,89480,89524.5,89526.6,89520.1,89228.9
10,89690,89710.5,89713.9,89707.6,89418.2
11,89870,89896.5,89901.2,89895,89607.6
12,90040,90082.6,90088.5,90082.5,89797
1,90280,90268.6,90275.8,90270,89986.3
2,90470,90454.6,90463.1,90457.5,90175.7
3,90660,90640.6,90650.4,90644.9,90365.1
4,90880,90826.7,90837.7,90832.4,90554.4
5,91070,91012.7,91025,91019.9,90743.8
6,91200,91198.7,91212.3,91207.3,90933.2
7,91370,91384.7,91399.6,91394.8,91122.5
8,91540,91570.8,91586.9,91582.3,91311.9
9,91740,91756.8,91774.2,91769.7,91501.3
10,91940,91942.8,91961.5,91957.2,91690.6
11,92110,92128.8,92148.8,92144.7,91880
12,92330,92314.9,92336.1,92332.1,92069.3
1,92720,92704.5,92698.2,92686.2,92448.1
2,92910,92890.4,92885.2,92873.4,92637.4
3,93050,93076.3,93072.1,93060.7,92826.8
4,93270,93262.3,93259,93247.9,93016.2
5,93420,93448.2,93446,93435.2,93205.5
6,93630,93634.1,93632.9,93622.4,93394.9
7,93800,93820,93819.9,93809.7,93584.3
8,93990,94005.9,94006.8,93996.9,93773.6
9,94150,94191.8,94193.7,94184.2,93963
10,94330,94377.7,94380.7,94371.5,94152.4
11,94540,94563.6,94567.6,94558.7,94341.7
12,94720,94749.5,94754.6,94746,94531.1
1,94960,94935.4,94941.5,94933.2,94720.4
2,95140,95121.3,95128.4,95120.5,94909.8
3,95340,95307.2,95315.4,95307.7,95099.2
4,95540,95493.2,95502.3,95495,95288.5
5,95720,95679.1,95689.3,95682.2,95477.9
6,95850,95865,95876.2,95869.5,95667.3
7,96030,96050.9,96063.1,96056.7,95856.6
8,96210,96236.8,96250.1,96244,96046
9,96420,96422.7,96437,96431.2,96235.4
10,96620,96608.6,96624,96618.5,96424.7
11,96780,96794.5,96810.9,96805.7,96614.1
12,97010,96980.4,96997.8,96993,96803.5
1,97380,97374.1,97367.2,97352.9,97182.2
2,97580,97560.2,97554,97540.7,97371.6
3,97740,97746.2,97740.8,97728.4,97560.9
4,97950,97932.2,97927.6,97916.2,97750.3
5,98100,98118.3,98114.3,98104,97939.6
6,98310,98304.3,98301.1,98291.8,98129
7,98480,98490.4,98487.9,98479.6,98318.4
8,98650,98676.4,98674.7,98667.4,98507.7
9,98810,98862.4,98861.5,98855.2,98697.1
10,98970,99048.5,99048.3,99043,98886.5
11,99200,99234.5,99235.1,99230.8,99075.8
12,99440,99420.6,99421.9,99418.6,99265.2
1,99660,99606.6,99608.7,99606.4,99454.6
2,99820,99792.7,99795.5,99794.2,99643.9
3,100020,99978.7,99982.3,99982,99833.3
4,100190,100165,100169,100170,100023
5,100360,100351,100356,100358,100212
6,100550,100537,100543,100545,100401
7,100720,100723,100729,100733,100591
8,100910,100909,100916,100921,100780
9,101090,101095,101103,101109,100969
10,101260,101281,101290,101297,101159
11,101430,101467,101477,101484,101348
12,101680,101653,101663,101672,101538
1,102070,102056,102046,102047,101916
2,102260,102242,102233,102234,102106
3,102440,102429,102420,102422,102295
4,102660,102615,102607,102609,102484
5,102810,102802,102794,102797,102674
6,102980,102989,102981,102984,102863
7,103190,103175,103168,103172,103052
8,103380,103362,103355,103359,103242
9,103500,103548,103542,103547,103431
10,103670,103735,103729,103734,103621
11,103880,103921,103916,103922,103810
12,104090,104108,104103,104109,103999
1,104310,104294,104290,104297,104189
2,104500,104481,104477,104484,104378
3,104720,104668,104664,104672,104567
4,104860,104854,104851,104859,104757
5,105070,105041,105038,105047,104946
6,105240,105227,105225,105234,105135
7,105370,105414,105412,105422,105325
8,105590,105600,105599,105609,105514
9,105800,105787,105786,105796,105704
10,105970,105973,105973,105984,105893
11,106130,106160,106160,106171,106082
12,106380,106346,106347,106359,106272
1,106730,106730,106715,106708,106650
2,106920,106915,106902,106895,106840
3,107070,107101,107089,107082,107029
4,107280,107286,107276,107269,107218
5,107440,107472,107462,107456,107408
6,107680,107658,107649,107644,107597
7,107810,107843,107836,107831,107787
8,108000,108029,108023,108018,107976
9,108190,108214,108210,108205,108165
10,108360,108400,108397,108392,108355
11,108550,108586,108583,108579,108544
12,108790,108771,108770,108766,108733
1,108970,108957,108957,108954,108923
2,109170,109142,109144,109141,109112
3,109380,109328,109331,109328,109302
4,109530,109514,109518,109515,109491
5,109730,109699,109704,109702,109680
6,109900,109885,109891,109889,109870
7,110040,110070,110078,110076,110059
8,110240,110256,110265,110264,110248
9,110420,110442,110452,110451,110438
10,110610,110627,110639,110638,110627
11,110780,110813,110825,110825,110816
12,111050,110998,111012,111012,111006
1,111420,111392,111386,111361,111385
2,111590,111579,111573,111550,111574
3,111740,111765,111759,111739,111763
4,111970,111951,111946,111928,111953
5,112130,112138,112133,112117,112142
6,112330,112324,112320,112306,112331
7,112500,112510,112507,112495,112521
8,112690,112696,112693,112684,112710
9,112820,112883,112880,112873,112899
10,113000,113069,113067,113062,113089
11,113200,113255,113254,113251,113278
12,113420,113441,113441,113440,113468
1,113660,113628,113628,113629,113657
2,113870,113814,113814,113818,113846
3,114050,114000,114001,114007,114036
4,114220,114187,114188,114196,114225
5,114410,114373,114375,114385,114414
6,114580,114559,114562,114574,114604
7,114750,114745,114748,114763,114793
8,114960,114932,114935,114952,114982
9,115100,115118,115122,115141,115172
10,115280,115304,115309,115330,115361
11,115440,115491,115496,115519,115551
12,115690,115677,115683,115708,115740
2,116120,116102,116095,116097,116119
1,116320,116291,116283,116288,116308
3,116510,116480,116471,116478,116497
5,116710,116669,116659,116668,116687
4,116880,116858,116847,116858,116876
7,117060,117047,117035,117048,117065
6,117270,117236,117223,117238,117255
9,117470,117425,117411,117428,117444
8,117620,117614,117599,117618,117634
11,117760,117803,117786,117808,117823
10,117930,117992,117974,117999,118012
12,118140,118181,118162,118189,118202
2,118340,118370,118350,118379,118391
3,118600,118559,118538,118569,118580
1,118820,118748,118726,118759,118770
4,119000,118937,118914,118949,118959
5,119160,119126,119102,119139,119148
6,119320,119315,119290,119329,119338
7,119520,119504,119478,119519,119527
8,119680,119693,119665,119710,119717
9,119880,119882,119853,119900,119906
10,120030,120071,120041,120090,120095
11,120210,120260,120229,120280,120285
12,120460,120449,120417,120470,120474
3,120860,120845,120822,120829,120853
2,121010,121034,121011,121019,121042
4,121260,121222,121200,121208,121231
1,121420,121411,121388,121398,121421
6,121620,121599,121577,121588,121610
5,121790,121788,121766,121778,121800
8,121980,121977,121955,121968,121989
7,122110,122165,122143,122158,122178
9,122330,122354,122332,122348,122368
11,122500,122542,122521,122538,122557
